observableId	simulationConditionId	time	measurement	preequilibrationConditionId
Free_TGFb_obs	TREG	0	1.0257466	preeq_ss
IL6R_Active	TREG	0	34.847922	preeq_ss
Free_IL6_obs	TREG	0	3.816502	preeq_ss
pSMAD3_obs	TREG	0	91.073772	preeq_ss
STAT3d_active_obs	TREG	0	15.278466	preeq_ss
S3S4_complex_obs	TREG	0	43.685782	preeq_ss
S3STAT3d_complex_obs	TREG	0	18.148224	preeq_ss
PKA_active	TREG	0	46.095603	preeq_ss
Free_TGFb_obs	TREG	5	0.99337097	preeq_ss
IL6R_Active	TREG	5	35.503847	preeq_ss
Free_IL6_obs	TREG	5	3.8659093	preeq_ss
pSMAD3_obs	TREG	5	89.606966	preeq_ss
STAT3d_active_obs	TREG	5	18.683661	preeq_ss
S3S4_complex_obs	TREG	5	55.665506	preeq_ss
S3STAT3d_complex_obs	TREG	5	18.773666	preeq_ss
PKA_active	TREG	5	43.665033	preeq_ss
Free_TGFb_obs	TREG	10	1.0323195	preeq_ss
IL6R_Active	TREG	10	35.130985	preeq_ss
Free_IL6_obs	TREG	10	3.8655439	preeq_ss
pSMAD3_obs	TREG	10	82.505676	preeq_ss
STAT3d_active_obs	TREG	10	18.221869	preeq_ss
S3S4_complex_obs	TREG	10	46.478657	preeq_ss
S3STAT3d_complex_obs	TREG	10	20.242221	preeq_ss
PKA_active	TREG	10	46.845206	preeq_ss
Free_TGFb_obs	TREG	15	0.9534184	preeq_ss
IL6R_Active	TREG	15	37.322917	preeq_ss
Free_IL6_obs	TREG	15	3.7343521	preeq_ss
pSMAD3_obs	TREG	15	85.996002	preeq_ss
STAT3d_active_obs	TREG	15	19.34112	preeq_ss
S3S4_complex_obs	TREG	15	51.929749	preeq_ss
S3STAT3d_complex_obs	TREG	15	22.185805	preeq_ss
PKA_active	TREG	15	45.682841	preeq_ss
Free_TGFb_obs	TREG	20	0.945471	preeq_ss
IL6R_Active	TREG	20	35.643201	preeq_ss
Free_IL6_obs	TREG	20	3.7656503	preeq_ss
pSMAD3_obs	TREG	20	92.80159	preeq_ss
STAT3d_active_obs	TREG	20	18.351225	preeq_ss
S3S4_complex_obs	TREG	20	45.746263	preeq_ss
S3STAT3d_complex_obs	TREG	20	16.50358	preeq_ss
PKA_active	TREG	20	50.762643	preeq_ss
Free_TGFb_obs	TREG	25	1.0716135	preeq_ss
IL6R_Active	TREG	25	40.809451	preeq_ss
Free_IL6_obs	TREG	25	3.3137825	preeq_ss
pSMAD3_obs	TREG	25	84.86024	preeq_ss
STAT3d_active_obs	TREG	25	18.778307	preeq_ss
S3S4_complex_obs	TREG	25	50.842435	preeq_ss
S3STAT3d_complex_obs	TREG	25	19.54553	preeq_ss
PKA_active	TREG	25	48.645882	preeq_ss
Free_TGFb_obs	TREG	30	1.0647578	preeq_ss
IL6R_Active	TREG	30	38.918683	preeq_ss
Free_IL6_obs	TREG	30	3.6448523	preeq_ss
pSMAD3_obs	TREG	30	88.306977	preeq_ss
STAT3d_active_obs	TREG	30	16.05001	preeq_ss
S3S4_complex_obs	TREG	30	48.184106	preeq_ss
S3STAT3d_complex_obs	TREG	30	17.096951	preeq_ss
PKA_active	TREG	30	44.635713	preeq_ss
Free_TGFb_obs	TREG	35	0.96809895	preeq_ss
IL6R_Active	TREG	35	44.873873	preeq_ss
Free_IL6_obs	TREG	35	3.2482226	preeq_ss
pSMAD3_obs	TREG	35	91.325892	preeq_ss
STAT3d_active_obs	TREG	35	15.692678	preeq_ss
S3S4_complex_obs	TREG	35	48.111037	preeq_ss
S3STAT3d_complex_obs	TREG	35	18.211537	preeq_ss
PKA_active	TREG	35	50.437738	preeq_ss
Free_TGFb_obs	TREG	40	1.0681954	preeq_ss
IL6R_Active	TREG	40	41.840751	preeq_ss
Free_IL6_obs	TREG	40	3.4201691	preeq_ss
pSMAD3_obs	TREG	40	79.180262	preeq_ss
STAT3d_active_obs	TREG	40	20.21949	preeq_ss
S3S4_complex_obs	TREG	40	48.80506	preeq_ss
S3STAT3d_complex_obs	TREG	40	15.77725	preeq_ss
PKA_active	TREG	40	42.48777	preeq_ss
Free_TGFb_obs	TH17	0	0.90783579	preeq_ss
IL6R_Active	TH17	0	40.622649	preeq_ss
Free_IL6_obs	TH17	0	100.92747	preeq_ss
pSMAD3_obs	TH17	0	88.829972	preeq_ss
STAT3d_active_obs	TH17	0	17.786571	preeq_ss
S3S4_complex_obs	TH17	0	50.538297	preeq_ss
S3STAT3d_complex_obs	TH17	0	19.07205	preeq_ss
PKA_active	TH17	0	46.127323	preeq_ss
Free_TGFb_obs	TH17	5	1.0414238	preeq_ss
IL6R_Active	TH17	5	72.37439	preeq_ss
Free_IL6_obs	TH17	5	7.1395433	preeq_ss
pSMAD3_obs	TH17	5	85.223348	preeq_ss
STAT3d_active_obs	TH17	5	32.947761	preeq_ss
S3S4_complex_obs	TH17	5	52.148146	preeq_ss
S3STAT3d_complex_obs	TH17	5	34.197212	preeq_ss
PKA_active	TH17	5	47.595574	preeq_ss
Free_TGFb_obs	TH17	10	1.043917	preeq_ss
IL6R_Active	TH17	10	87.339607	preeq_ss
Free_IL6_obs	TH17	10	7.5943186	preeq_ss
pSMAD3_obs	TH17	10	91.058203	preeq_ss
STAT3d_active_obs	TH17	10	35.745858	preeq_ss
S3S4_complex_obs	TH17	10	49.319435	preeq_ss
S3STAT3d_complex_obs	TH17	10	30.950653	preeq_ss
PKA_active	TH17	10	41.164355	preeq_ss
Free_TGFb_obs	TH17	15	0.87204327	preeq_ss
IL6R_Active	TH17	15	76.031829	preeq_ss
Free_IL6_obs	TH17	15	7.3724425	preeq_ss
pSMAD3_obs	TH17	15	85.569906	preeq_ss
STAT3d_active_obs	TH17	15	36.097552	preeq_ss
S3S4_complex_obs	TH17	15	56.601002	preeq_ss
S3STAT3d_complex_obs	TH17	15	35.661188	preeq_ss
PKA_active	TH17	15	51.191725	preeq_ss
Free_TGFb_obs	TH17	20	0.90655391	preeq_ss
IL6R_Active	TH17	20	82.312565	preeq_ss
Free_IL6_obs	TH17	20	6.4422314	preeq_ss
pSMAD3_obs	TH17	20	91.36795	preeq_ss
STAT3d_active_obs	TH17	20	40.981123	preeq_ss
S3S4_complex_obs	TH17	20	41.85349	preeq_ss
S3STAT3d_complex_obs	TH17	20	38.840098	preeq_ss
PKA_active	TH17	20	48.703535	preeq_ss
Free_TGFb_obs	TH17	25	0.93777763	preeq_ss
IL6R_Active	TH17	25	72.733226	preeq_ss
Free_IL6_obs	TH17	25	7.1336233	preeq_ss
pSMAD3_obs	TH17	25	90.067315	preeq_ss
STAT3d_active_obs	TH17	25	38.769939	preeq_ss
S3S4_complex_obs	TH17	25	49.832875	preeq_ss
S3STAT3d_complex_obs	TH17	25	43.87973	preeq_ss
PKA_active	TH17	25	46.440437	preeq_ss
Free_TGFb_obs	TH17	30	0.8984624	preeq_ss
IL6R_Active	TH17	30	85.535334	preeq_ss
Free_IL6_obs	TH17	30	7.239615	preeq_ss
pSMAD3_obs	TH17	30	109.01776	preeq_ss
STAT3d_active_obs	TH17	30	41.37202	preeq_ss
S3S4_complex_obs	TH17	30	51.526573	preeq_ss
S3STAT3d_complex_obs	TH17	30	43.493357	preeq_ss
PKA_active	TH17	30	42.244249	preeq_ss
Free_TGFb_obs	TH17	35	0.93352154	preeq_ss
