observableId	simulationConditionId	time	measurement	preequilibrationConditionId
Free_TGFb_obs	TREG	0.0	1.0	preeq_ss
IL6R_Active	TREG	0.0	0.0	preeq_ss
Free_IL6_obs	TREG	0.0	0.0	preeq_ss
pSMAD3_obs	TREG	0.0	83.33115033627695	preeq_ss
STAT3d_active_obs	TREG	0.0	0.0	preeq_ss
S3S4_complex_obs	TREG	0.0	49.99345101204462	preeq_ss
S3STAT3d_complex_obs	TREG	0.0	0.0	preeq_ss
PKA_active	TREG	0.0	47.81016938713931	preeq_ss
Free_TGFb_obs	TREG	5.0	1.0	preeq_ss
IL6R_Active	TREG	5.0	0.0	preeq_ss
Free_IL6_obs	TREG	5.0	0.0	preeq_ss
pSMAD3_obs	TREG	5.0	83.33115033627695	preeq_ss
STAT3d_active_obs	TREG	5.0	0.0	preeq_ss
S3S4_complex_obs	TREG	5.0	49.99345101204463	preeq_ss
S3STAT3d_complex_obs	TREG	5.0	0.0	preeq_ss
PKA_active	TREG	5.0	47.81016938713932	preeq_ss
Free_TGFb_obs	TREG	10.0	1.0	preeq_ss
IL6R_Active	TREG	10.0	0.0	preeq_ss
Free_IL6_obs	TREG	10.0	0.0	preeq_ss
pSMAD3_obs	TREG	10.0	83.33115033627695	preeq_ss
STAT3d_active_obs	TREG	10.0	0.0	preeq_ss
S3S4_complex_obs	TREG	10.0	49.99345101204463	preeq_ss
S3STAT3d_complex_obs	TREG	10.0	0.0	preeq_ss
PKA_active	TREG	10.0	47.81016938713932	preeq_ss
Free_TGFb_obs	TREG	15.0	1.0	preeq_ss
IL6R_Active	TREG	15.0	0.0	preeq_ss
Free_IL6_obs	TREG	15.0	0.0	preeq_ss
pSMAD3_obs	TREG	15.0	83.33115033627695	preeq_ss
STAT3d_active_obs	TREG	15.0	0.0	preeq_ss
S3S4_complex_obs	TREG	15.0	49.99345101204463	preeq_ss
S3STAT3d_complex_obs	TREG	15.0	0.0	preeq_ss
PKA_active	TREG	15.0	47.81016938713932	preeq_ss
Free_TGFb_obs	TREG	20.0	1.0	preeq_ss
IL6R_Active	TREG	20.0	0.0	preeq_ss
Free_IL6_obs	TREG	20.0	0.0	preeq_ss
pSMAD3_obs	TREG	20.0	83.33115033627695	preeq_ss
STAT3d_active_obs	TREG	20.0	0.0	preeq_ss
