parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
TGFb_0	TGFb_0	log10	0.9999999998	1.0000000002	1.0	0
IL6_0	IL6_0	log10	-1e-10	1e-10	0.0	0
kf_il6_bind	kf_il6_bind	log10	0.05	0.2	0.1	1
kr_il6_bind	kr_il6_bind	log10	0.05	0.2	0.1	1
k_act_il6r	k_act_il6r	log10	0.25	1.0	0.5	1
k_inact_il6r	k_inact_il6r	log10	0.025	0.1	0.05	1
k_phos_smad3	k_phos_smad3	log10	0.05	0.2	0.1	1
k_dephos_smad3	k_dephos_smad3	log10	0.025	0.1	0.05	1
kf_stat3_bind	kf_stat3_bind	log10	0.5	2.0	1.0	1
kr_stat3_bind	kr_stat3_bind	log10	0.05	0.2	0.1	1
k_stat3_dimer	k_stat3_dimer	log10	0.05	0.2	0.1	1
k_deact_stat3	k_deact_stat3	log10	0.025	0.1	0.05	1
kf_s3s4	kf_s3s4	log10	0.5	2.0	1.0	1
kr_s3s4	kr_s3s4	log10	0.05	0.2	0.1	1
kf_s3stat3d	kf_s3stat3d	log10	0.5	2.0	1.0	1
kr_s3stat3d	kr_s3stat3d	log10	0.05	0.2	0.1	1
kf_pka_bind	kf_pka_bind	log10	0.5	2.0	1.0	1
kr_pka_bind	kr_pka_bind	log10	0.05	0.2	0.1	1
IL6R_0	IL6R_0	log10	1.0	200.0	100.0	1
SMAD3_0	SMAD3_0	log10	1.0	200.0	100.0	1
SMAD4_0	SMAD4_0	log10	1.0	200.0	50.0	1
STAT3m_0	STAT3m_0	log10	1.0	200.0	100.0	1
PKA_0	PKA_0	log10	1.0	200.0	50.0	1
sigma_log_shared	sigma_log_shared	log10	0.01	1.0	0.049968792246632754	1
